"CODE","VAR"
DB010,Año de la encuesta
DB020,País
DB030,Identificación transversal del hogar
DB040,Región
DB040_F, No consta -1
DB060,Unidad primaria de muestreo (sección censal
DB060_F,  No disponible -2
DB090,Factor transversal del hogar
DB090_F, Variable completada  1
DB100,Grado de urbanización
DB100_F,  Variable completada 1
RB010,Año de la encuesta
RB020,País
RB030,Identificador transversal de la persona
RB050,Factor de ponderación transversal
RB050_F, No consta -1
RB070,Mes de nacimiento
RB070_F, No consta -1
RB080,Año de nacimiento
RB080_F, No consta -1
RB090,Sexo
RB090_F, No consta -1
RB200,Situación respecto a la residencia en el hogar
RB200_F, No consta -1
RB210,¿Cual de las siguientes fue su situación en la
RB210_F, No consta -1
RB220,Identificador del padre
RB220_F, El padre no es miembro del hogar o no tiene padre -2
RB230,Identificador de la madre
RB230_F, La madre no es miembro del hogar o no tiene madre -2
RB240,Identificador del cónyuge o pareja
RB240_F, No tiene cónyuge o pareja o ésta no es miembro del
RL010,Número de horas en una semana normal que ha
RL010_F, No aplicable (N.A.) (ya que no tiene la edad para ser
RL020,Número de horas en una semana normal que ha sido cuidado en centros de educación obligatoria
RL020_F, N.A. (ya que no tiene la edad para ser admitida
RL030,Número de horas en una semana normal que ha
RL030_F, N.A. (la persona no está en educación infantil ni  primaria
RL040,Número de horas en una semana normal que ha sido
RL040_F, N.A. (la persona tiene más de 12 años) -2
RL050,Número de horas en una semana normal que ha sido cuidado por cuidadores profesionales remunerados en casa del niño o del cuidador (niñeras asistentas etc.)
RL050_F, N.A. (la persona tiene más de 12 años) -2
RL060,Número de horas en una semana normal que ha sido
RL060_F, N.A. (la persona tiene más de 12 años) -2
RL070,Peso transversal para los niños (para el cuidado de niños)
RL070_F, N.A. (la persona tiene más de 12 años en el momento de la entrevista) -2
vrEU2020,Personas en riesgo de pobreza o exclusión social (estrategia Europa 2020). Son los que están en alguna de estas situaciones:
HB010,Año de la encuesta
HB020,País
HB030,Identificación transversal del hogar
HB050,Mes de la entrevista  al hogar
HB050_F, No consta -1
HB060,Año de la entrevista  al hogar
HB060_F, Variable completada 1
HB070,Identificación personal del informante del    cuestionario sobre el hogar
HB070_F, No consta -1
HB080,Identificación de la primera persona responsable de
HB080_F, No consta -1
HB090,Identificación de la segunda persona responsable de
HB090_F, No aplicable (N.A.) (No hay 2º responsable) -2
HB100,Numero de minutos empleados en cumplimentar el
HB100_F, No consta -1
HY020,Renta disponible total del hogar en el año anterior al de encuesta (nota: esta variable contiene las rentas percibidas de esquemas privados de pensiones)
HY020_F, 6 No consta -1
HY022,112  Renta disponible total del hogar antes de transferencias sociales excepto prestaciones por jubilación y por supervivencia en el año anterior al de encuesta
HY022_F,  6 No consta -1
HY023,112 Renta disponible total del hogar antes de transferencias sociales incluidas prestaciones por jubilación y por supervivencia en el año anterior al de encuesta
HY023_F, 6 No consta -1
HY030N: l                                                           ,Alquiler imputado (El alquiler imputado se aplica a los hogares que no pagan un alquiler completo por ser propietarios o por ocupar una vivienda alquilada a un precio inferior al de mercado o a título gratuito. El valor que se imputa es el equivalente al alquiler que se pagaría en el mercado por una vivienda similar a la ocupada menos cualquier alquiler realmente abonado). Valor anua
HY030N_F,2 No consta -1
HY040N, Renta neta procedente del alquiler de una propiedad o terreno en el año anterior al de encuesta
HY040N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY050N,112  Ayuda por familia/hijos en el año anterior al de la enc.
HY050N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY060N, Ingresos por asistencia social en el año anterior al de encuesta
HY060N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY070N, Ayuda para vivienda en el año anterior al de
HY070N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY080N, Transferencias periódicas monetarias percibidas de otros hogares en el año anterior al de encuesta
HY080N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY081N, Transferencias periódicas monetarias percibidas de otros hogares en el año anterior al de encuesta (pensiones alimenticias a hijos o compensatorias a cónyuges)
HY081N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY090N,  Intereses dividendos y ganancias netos de inversiones  de capital en empresas no constituidas en sociedad en el año anterior al de encuesta
HY090N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY100N, Intereses pagados del préstamo para la compra de la vivienda principal en el año anterior al de encuesta
HY100N_F,6 No cumplimentado: variable bruta cumplimentada -5
HY110N,112 Renta neta percibida por los menores de 16 años en
