DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2020,ES,1,ES21,1,2,2,1529.11012,1,3,1
2020,ES,3,ES21,1,2,2,3515.77670,1,3,1
2020,ES,5,ES21,1,3,2,1264.36313,1,2,1
2020,ES,6,ES21,1,3,2,2926.24674,1,2,1
2020,ES,10,ES21,1,10,2,1255.46267,1,1,1
2020,ES,13,ES21,1,10,2,1784.80615,1,1,1
2020,ES,14,ES21,1,10,2,936.63447,1,1,1
2020,ES,15,ES21,1,10,2,1681.24330,1,1,1
2020,ES,19,ES21,1,11,2,1084.73330,1,1,1
2020,ES,20,ES21,1,11,2,606.81805,1,1,1
2020,ES,21,ES21,1,11,2,1154.38521,1,1,1
2020,ES,22,ES21,1,12,2,1132.80586,1,1,1
2020,ES,23,ES21,1,12,2,569.85024,1,1,1
2020,ES,24,ES21,1,12,2,1154.38521,1,1,1
2020,ES,25,ES21,1,12,2,2714.73633,1,1,1
2020,ES,26,ES21,1,12,2,1338.72717,1,1,1
2020,ES,27,ES21,1,16,2,671.00571,1,1,1
2020,ES,28,ES21,1,16,2,2146.98395,1,1,1
2020,ES,29,ES21,1,16,2,2172.48576,1,1,1
2020,ES,30,ES21,1,16,2,1259.38332,1,1,1
2020,ES,31,ES21,1,16,2,1487.03412,1,1,1
2020,ES,32,ES21,1,16,2,1981.57059,1,1,1
2020,ES,34,ES21,1,16,2,1090.13949,1,1,1
2020,ES,36,ES42,1,17,2,808.63735,1,1,1
2020,ES,38,ES42,1,17,2,674.09929,1,1,1
2020,ES,39,ES42,1,17,2,1336.61643,1,1,1
2020,ES,40,ES42,1,17,2,2061.81405,1,1,1
2020,ES,41,ES42,1,19,2,1488.51583,1,1,1
2020,ES,42,ES42,1,19,2,2864.25443,1,1,1
2020,ES,43,ES42,1,19,2,1639.71945,1,1,1
2020,ES,44,ES42,1,22,2,1349.63261,1,1,1
2020,ES,46,ES42,1,22,2,1079.59691,1,1,1
2020,ES,48,ES42,1,24,2,1658.64433,1,1,1
2020,ES,49,ES42,1,24,2,1273.80388,1,1,1
2020,ES,50,ES42,1,24,2,2127.53477,1,1,1
2020,ES,53,ES42,1,28,2,1928.44150,1,3,1
2020,ES,54,ES42,1,28,2,1464.97770,1,3,1
2020,ES,55,ES42,1,28,2,2000.61035,1,3,1
2020,ES,60,ES42,1,32,2,2621.67553,1,3,1
2020,ES,61,ES42,1,32,2,3178.93200,1,3,1
2020,ES,63,ES42,1,32,2,2009.87159,1,3,1
2020,ES,64,ES42,1,32,2,1365.72844,1,3,1
2020,ES,67,ES52,1,38,2,3159.76728,1,3,1
2020,ES,68,ES52,1,38,2,3126.41060,1,3,1
2020,ES,69,ES52,1,42,2,4319.66867,1,1,1
2020,ES,70,ES52,1,42,2,1176.85348,1,1,1
2020,ES,75,ES52,1,43,2,4313.02979,1,1,1
2020,ES,76,ES52,1,43,2,8265.64187,1,1,1
2020,ES,77,ES52,1,43,2,5125.79324,1,1,1
2020,ES,78,ES52,1,43,2,1695.89740,1,1,1
2020,ES,79,ES52,1,47,2,5844.91112,1,1,1
2020,ES,80,ES52,1,47,2,2261.73405,1,1,1
2020,ES,82,ES52,1,47,2,3557.25901,1,1,1
2020,ES,83,ES52,1,58,2,3460.86817,1,2,1
2020,ES,84,ES52,1,58,2,1156.95749,1,2,1
2020,ES,85,ES52,1,58,2,1145.26236,1,2,1
2020,ES,86,ES52,1,58,2,4291.12648,1,2,1
2020,ES,87,ES52,1,58,2,3048.72736,1,2,1
2020,ES,88,ES52,1,58,2,3722.24535,1,2,1
2020,ES,89,ES52,1,58,2,3408.21086,1,2,1
2020,ES,90,ES52,1,68,2,1992.15258,1,1,1
2020,ES,91,ES52,1,68,2,4853.53049,1,1,1
2020,ES,92,ES52,1,68,2,2879.93921,1,1,1
2020,ES,93,ES52,1,68,2,4738.25172,1,1,1
2020,ES,94,ES52,1,70,2,5612.98434,1,1,1
2020,ES,95,ES52,1,70,2,3883.88630,1,1,1
2020,ES,96,ES52,1,70,2,4700.65765,1,1,1
2020,ES,97,ES52,1,70,2,4239.48767,1,1,1
2020,ES,98,ES52,1,70,2,5742.81901,1,1,1
2020,ES,100,ES52,1,74,2,4103.35382,1,1,1
2020,ES,101,ES52,1,74,2,7191.17701,1,1,1
2020,ES,102,ES52,1,74,2,4959.15683,1,1,1
2020,ES,103,ES52,1,74,2,3748.42061,1,1,1
2020,ES,105,ES52,1,74,2,7037.62552,1,1,1
2020,ES,107,ES52,1,74,2,7079.63471,1,1,1
2020,ES,109,ES52,1,80,2,4648.11094,1,2,1
2020,ES,110,ES52,1,82,2,4812.11972,1,3,1
2020,ES,115,ES52,1,84,2,1608.96336,1,3,1
2020,ES,116,ES52,1,84,2,2193.51608,1,3,1
2020,ES,117,ES52,1,84,2,2793.39042,1,3,1
2020,ES,119,ES52,1,84,2,1354.23756,1,3,1
2020,ES,120,ES52,1,84,2,2479.12778,1,3,1
2020,ES,121,ES52,1,84,2,1318.94504,1,3,1
2020,ES,124,ES52,1,88,2,3684.10714,1,2,1
2020,ES,125,ES52,1,88,2,5395.66170,1,2,1
2020,ES,126,ES52,1,88,2,7628.51612,1,2,1
2020,ES,127,ES52,1,88,2,3491.86692,1,2,1
2020,ES,128,ES52,1,88,2,4398.41600,1,2,1
2020,ES,129,ES52,1,90,2,1283.50012,1,2,1
2020,ES,130,ES52,1,94,2,5324.55138,1,3,1
2020,ES,132,ES52,1,94,2,7866.08720,1,3,1
2020,ES,133,ES52,1,94,2,2867.43044,1,3,1
2020,ES,134,ES61,1,100,2,3023.17478,1,1,1
2020,ES,135,ES61,1,100,2,3996.21198,1,1,1
2020,ES,136,ES61,1,100,2,4893.96044,1,1,1
2020,ES,146,ES61,1,106,2,3636.25533,1,3,1
2020,ES,148,ES61,1,106,2,1681.10732,1,3,1
2020,ES,150,ES61,1,106,2,2862.16950,1,3,1
2020,ES,151,ES61,1,106,2,1957.46113,1,3,1
2020,ES,152,ES61,1,106,2,2116.19730,1,3,1
2020,ES,153,ES61,1,106,2,4115.76888,1,3,1
2020,ES,154,ES61,1,110,2,12150.09573,1,3,1
2020,ES,155,ES61,1,110,2,1968.31919,1,3,1
2020,ES,157,ES61,1,110,2,3002.91767,1,3,1
2020,ES,160,ES61,1,110,2,7141.95315,1,3,1
2020,ES,163,ES61,1,113,2,27736.36656,1,3,1
2020,ES,164,ES61,1,113,2,13273.25516,1,3,1
2020,ES,165,ES41,1,116,2,2294.65447,1,2,1
2020,ES,166,ES41,1,116,2,1021.18576,1,2,1
2020,ES,167,ES30,1,116,2,1009.00010,1,1,1
2020,ES,168,ES41,1,116,2,1811.85392,1,2,1
2020,ES,170,ES41,1,116,2,1344.49517,1,2,1
2020,ES,172,ES41,1,116,2,3316.16460,1,2,1
2020,ES,173,ES41,1,119,2,2186.94521,1,3,1
2020,ES,174,ES41,1,119,2,3237.88690,1,3,1
2020,ES,175,ES41,1,119,2,2630.16033,1,3,1
2020,ES,176,ES41,1,119,2,1587.61291,1,3,1
2020,ES,177,ES41,1,119,2,1389.00783,1,3,1
2020,ES,178,ES41,1,120,2,1286.36016,1,3,1
2020,ES,179,ES41,1,120,2,1384.11205,1,3,1
2020,ES,181,ES41,1,120,2,2606.48485,1,3,1
2020,ES,183,ES41,1,120,2,154.91201,1,3,1
2020,ES,184,ES41,1,120,2,1725.33910,1,3,1
2020,ES,185,ES43,1,123,2,154.95180,1,3,1
2020,ES,186,ES43,1,123,2,1369.91681,1,3,1
2020,ES,187,ES43,1,123,2,1044.43164,1,3,1
2020,ES,189,ES43,1,123,2,964.87032,1,3,1
2020,ES,191,ES43,1,123,2,1174.73401,1,3,1
2020,ES,192,ES43,1,125,2,801.00979,1,3,1
