DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2021,ES,1,ES21,1,1699.99132,1,3,1
2021,ES,2,ES21,1,2597.81123,1,3,1
2021,ES,3,ES21,1,1631.18942,1,3,1
2021,ES,4,ES21,1,961.28510,1,3,1
2021,ES,5,ES21,1,3635.69803,1,3,1
2021,ES,6,ES21,1,486.78435,1,3,1
2021,ES,7,ES21,1,4363.58908,1,1,1
2021,ES,9,ES21,1,2534.03405,1,1,1
2021,ES,10,ES21,1,1075.70294,1,1,1
2021,ES,12,ES21,1,1135.34494,1,1,1
2021,ES,14,ES42,1,1229.17667,1,1,1
2021,ES,15,ES42,1,556.16253,1,1,1
2021,ES,16,ES42,1,712.02765,1,1,1
2021,ES,17,ES42,1,843.03947,1,1,1
2021,ES,18,ES42,1,1403.12943,1,1,1
2021,ES,19,ES42,1,346.35016,1,1,1
2021,ES,20,ES42,1,1112.38882,1,1,1
2021,ES,22,ES42,1,843.03947,1,1,1
2021,ES,23,ES42,1,523.13770,1,1,1
2021,ES,24,ES42,1,1393.14027,1,1,1
2021,ES,26,ES42,1,2678.76529,1,1,1
2021,ES,27,ES42,1,640.17236,1,1,1
2021,ES,28,ES42,1,2439.33795,1,1,1
2021,ES,29,ES42,1,1036.08523,1,1,1
2021,ES,30,ES42,1,1710.46524,1,1,1
2021,ES,31,ES42,1,843.03947,1,1,1
2021,ES,32,ES42,1,1336.87852,1,1,1
2021,ES,33,ES42,1,1828.62589,1,2,1
2021,ES,34,ES42,1,1238.88664,1,2,1
2021,ES,35,ES42,1,1303.53870,1,2,1
2021,ES,36,ES42,1,2824.56921,1,2,1
2021,ES,37,ES42,1,4979.06055,1,3,1
2021,ES,38,ES42,1,678.20951,1,3,1
2021,ES,40,ES42,1,1932.76427,1,3,1
2021,ES,41,ES42,1,512.21908,1,3,1
2021,ES,42,ES42,1,405.86176,1,3,1
2021,ES,43,ES42,1,2319.72483,1,3,1
2021,ES,44,ES42,1,1073.99517,1,3,1
2021,ES,46,ES42,1,1319.56216,1,3,1
2021,ES,47,ES42,1,1616.98921,1,3,1
2021,ES,48,ES42,1,1756.31458,1,3,1
2021,ES,49,ES42,1,405.86176,1,3,1
2021,ES,50,ES42,1,1141.25601,1,3,1
2021,ES,51,ES42,1,2218.48937,1,3,1
2021,ES,53,ES52,1,4736.60211,1,1,1
2021,ES,54,ES52,1,3309.57749,1,1,1
2021,ES,55,ES52,1,4262.52257,1,1,1
2021,ES,56,ES52,1,4317.60892,1,1,1
2021,ES,57,ES52,1,1714.35936,1,1,1
2021,ES,58,ES52,1,3031.83860,1,1,1
2021,ES,59,ES52,1,4358.38375,1,1,1
2021,ES,60,ES52,1,2343.47990,1,1,1
2021,ES,61,ES52,1,3439.20474,1,1,1
2021,ES,62,ES52,1,2834.44797,1,1,1
2021,ES,63,ES52,1,2047.98072,1,1,1
2021,ES,64,ES52,1,2935.82015,1,1,1
2021,ES,65,ES52,1,3652.91240,1,1,1
2021,ES,66,ES52,1,3657.00017,1,1,1
2021,ES,68,ES52,1,1413.42671,1,1,1
2021,ES,69,ES52,1,1799.77648,1,1,1
2021,ES,70,ES52,1,2832.89162,1,1,1
2021,ES,72,ES52,1,1661.79392,1,1,1
2021,ES,73,ES52,1,1936.32315,1,1,1
2021,ES,74,ES52,1,4618.37300,1,1,1
2021,ES,76,ES52,1,4025.62604,1,2,1
2021,ES,77,ES52,1,1805.87833,1,2,1
2021,ES,78,ES52,1,2853.68459,1,2,1
2021,ES,79,ES52,1,3382.23153,1,2,1
2021,ES,80,ES52,1,4715.41306,1,2,1
2021,ES,81,ES52,1,2038.01406,1,2,1
2021,ES,83,ES52,1,5326.12426,1,2,1
2021,ES,85,ES52,1,1737.81931,1,2,1
2021,ES,87,ES52,1,6065.06146,1,2,1
2021,ES,88,ES52,1,3576.66199,1,2,1
2021,ES,90,ES52,1,3411.98194,1,1,1
2021,ES,91,ES52,1,1862.61972,1,1,1
2021,ES,92,ES52,1,3065.06758,1,1,1
2021,ES,93,ES52,1,4437.85034,1,1,1
2021,ES,94,ES52,1,4342.83272,1,1,1
2021,ES,95,ES52,1,4498.18022,1,1,1
2021,ES,96,ES52,1,3781.72630,1,1,1
2021,ES,98,ES52,1,1455.90782,1,2,1
2021,ES,99,ES52,1,2397.84757,1,2,1
2021,ES,100,ES52,1,4186.76646,1,2,1
2021,ES,101,ES52,1,1954.13986,1,2,1
2021,ES,103,ES52,1,1134.02927,1,2,1
2021,ES,104,ES52,1,2236.13336,1,1,1
2021,ES,105,ES52,1,3484.26707,1,1,1
2021,ES,106,ES52,1,5278.21005,1,1,1
2021,ES,107,ES52,1,5190.58278,1,1,1
2021,ES,108,ES52,1,3545.53468,1,2,1
2021,ES,109,ES52,1,3277.36726,1,2,1
2021,ES,110,ES52,1,5685.65928,1,1,1
2021,ES,111,ES52,1,3200.46508,1,1,1
2021,ES,112,ES52,1,6376.36653,1,1,1
2021,ES,114,ES52,1,9678.53682,1,1,1
2021,ES,115,ES52,1,3751.86256,1,1,1
2021,ES,116,ES52,1,7450.08575,1,1,1
2021,ES,117,ES52,1,3491.05832,1,1,1
2021,ES,118,ES52,1,2010.33626,1,2,1
2021,ES,119,ES52,1,3342.93554,1,2,1
2021,ES,120,ES52,1,1361.45200,1,2,1
2021,ES,121,ES52,1,1955.61869,1,2,1
2021,ES,122,ES52,1,3352.04021,1,2,1
2021,ES,123,ES52,1,1959.47377,1,2,1
2021,ES,124,ES52,1,1942.02218,1,2,1
2021,ES,126,ES61,1,6324.19514,1,2,1
2021,ES,127,ES61,1,1710.56086,1,2,1
2021,ES,128,ES61,1,5064.73560,1,2,1
2021,ES,129,ES61,1,2482.90725,1,2,1
2021,ES,130,ES61,1,2570.77458,1,2,1
2021,ES,131,ES61,1,3127.20084,1,2,1
2021,ES,132,ES61,1,2686.45561,1,1,1
2021,ES,133,ES61,1,2026.57989,1,1,1
2021,ES,134,ES61,1,2778.75250,1,1,1
2021,ES,135,ES61,1,2092.75515,1,2,1
2021,ES,137,ES61,1,2514.99160,1,1,1
2021,ES,138,ES61,1,2079.60667,1,1,1
2021,ES,139,ES61,1,5942.02286,1,1,1
2021,ES,140,ES61,1,1360.17815,1,1,1
2021,ES,141,ES61,1,2784.58732,1,1,1
2021,ES,142,ES61,1,3287.05785,1,1,1
2021,ES,143,ES61,1,1537.23430,1,1,1
2021,ES,144,ES61,1,2204.24502,1,1,1
2021,ES,145,ES61,1,3788.11813,1,1,1
2021,ES,146,ES61,1,1113.76745,1,1,1
2021,ES,147,ES61,1,1655.43563,1,2,1
2021,ES,148,ES61,1,1853.47938,1,2,1
2021,ES,149,ES61,1,4647.00471,1,2,1
2021,ES,150,ES61,1,2408.99395,1,2,1
2021,ES,152,ES61,1,2031.49353,1,2,1
2021,ES,153,ES61,1,1146.83654,1,2,1
